"","species","sex","island","mean_mass_g"
"1","Adelie","female","Biscoe",3369.31818181818
"2","Adelie","female","Dream",3344.44444444444
"3","Adelie","female","Torgersen",3395.83333333333
"4","Adelie","male","Biscoe",4050
"5","Adelie","male","Dream",4045.53571428571
"6","Adelie","male","Torgersen",4034.78260869565
"7","Chinstrap","female","Dream",3527.20588235294
"8","Chinstrap","male","Dream",3938.97058823529
"9","Gentoo","female","Biscoe",4679.74137931035
"10","Gentoo","male","Biscoe",5484.83606557377
